,text,username,tweet_id,timestamp,hashtags,screen_name,retweets,likes,uni_handle,compound,Sentiment,score
162,@ChenrajRoychand Hi this is Prof V.Sherin Bovas we met 20 years ago at your office when i was teaching at Alliance Business Academy now Alliance University . Good feel to connect with you now  as both institutes of learning have become Universities You can reach me on 8971505702,Prof. V. Sherin Bovas,1139139598695534592,2019-06-13 11:56:59,[],v_bovas,0,0,,0.4588,Positive,4
163,Bangalore Fintech Summit 2019 to take place 27 July at Alliance University http://dlvr.it/R6Qr9n ,angus insane bot,1138506198955618304,2019-06-11 18:00:04,[],wee_insanecoin,0,0,,0.0,Neutral,3
164,"Last call for Nepalese students from Alliance University Bangalore!
 
Merit Scholarship based admissions from India’s 7th Best Private University.
Ranked 7th Best Private University in India (India Today)... https://www.facebook.com/100000137988758/posts/2830768076937764/ …",Aryan,1161332150001496064,2019-08-13 17:42:15,[],upretyaryan,0,0,,0.9098,Positive,5
165,"Come & meet ALLIANCE UNIVERSITY team at the HIGHER EDUCATION TECH CONFERENCE 2019, Bengaluru 29 August, & discuss how they are helping institutions, Know more at https://bit.ly/2Otqblh  #hetc19 #etr19 #edtech #education #elearning #edchat #21stedchat #edleaders #india #edappspic.twitter.com/nM86ahYA5z",EdTechReview,1161223430181720064,2019-08-13 10:30:14,"['hetc19', 'etr19', 'edtech', 'education', 'elearning', 'edchat', '21stedchat', 'edleaders', 'india', 'edappspic']",etr_in,0,1,,0.296,Positive,4
166,"Proud to be an alumna of one Big10 Academic Alliance university, and an employee of another! https://twitter.com/BigTenAcademic/status/1156653538719629313 …",KimMe,1159815731648892928,2019-08-09 13:16:33,[],rappwoman,0,0,,0.5255,Positive,4
167,"#NammaBengaluru is ranked 1st in India and 81st in the world in the QS @TopUnis Best Student Cities 2019 survey. We feel ecstatic as we pay our tribute to this city and nominate @IIM_Bangalore, @PESUniversity, @SIBMBengaluru, Alliance University Bangalore, @JainUniversity, (1/2)","IFIM Business School, Bangalore",1159443648628420608,2019-08-08 12:38:01,['NammaBengaluru'],IFIMBSchool,0,1,,0.7964,Positive,5
168,Alliance University Hosted Bangalore Blockchain Summit 2019 https://thefintechbuzz.com/latest-news/2019/08/07/2582/alliance-university-hosted-bangalore-blockchain-summit-2019/ …pic.twitter.com/y1k3oLBFeR,TheFintechBuzz,1159049210878185472,2019-08-07 10:30:40,[],RealFintechBuzz,0,1,,0.0,Neutral,3
169,Alliance University Hosted Bangalore Blockchain Summit 2019 https://theblockchainexaminer.com/blockchain/2019/08/07/2855/alliance-university-hosted-bangalore-blockchain-summit-2019/ …pic.twitter.com/OcMEE5J5yF,TheBlockchainExaminer,1159046758925766656,2019-08-07 10:20:56,[],P2P_examiner,0,0,,0.0,Neutral,3
170,Alliance University Hosted Bangalore Blockchain Summit 2019 https://picante.today/latest-news/2019/08/07/67536/alliance-university-hosted-bangalore-blockchain-summit-2019/ …pic.twitter.com/GKAA2Kh18B,PICANTE News,1159046517975650304,2019-08-07 10:19:58,[],Picante_Media,0,0,,0.0,Neutral,3
171,"IAM Platform Curated Tweet:

Alliance University Hosted Bangalore Blockchain Summit 2019 – Business Standard 

https://blog.iammarketingmedia.com/alliance-university-hosted-bangalore-blockchain-summit-2019-business-standard/?utm_campaign=blockchain&utm_medium=twitter&utm_source=twitter …
#TopInfluence
#blockchain #DistributedNetwork",IAM Platform,1158984821475094528,2019-08-07 06:14:48,"['TopInfluence', 'blockchain', 'DistributedNetwork']",IAM__Network,0,0,,0.0,Neutral,3
