,text,username,tweet_id,timestamp,hashtags,screen_name,retweets,uni_handle,compound,Sentiment
45,"PES University is calling applications for their BBA LLB - 5 Years Integrated Law Program of session 2019-20.

To apply, click here: http://tinyurl.com/y4sdltfr pic.twitter.com/9oGEHq6ddc",Lawctopus,1151758385349402624,2019-07-18 07:39:32,[],Lawctopus,0,0.0,0.0,Neutral
46,"Inauguration of first semester diploma classes in PES Polytechnic college was an enriching experience for enthusiastic students and parents. The course information book of first year diploma was released by Sri Vinaya Kumar, Vice President, TKM. https://news.pes.edu/10202 pic.twitter.com/LWMazBVA88",PES University,1151501458052792320,2019-07-17 14:38:36,[],PESUniversity,0,1.0,0.4939,Positive
47,"Our first cloud fest at PES UNIVERSITY! Launching this Saturday! If you're in Bangalore, come be a part of it! 
Registration link : http://bit.ly/dscpesu-cloud-fest … …
#dsc #google #cloud #gdg #googledevelopers @googledevs @Google
#pesuniversity #india #bangalorepic.twitter.com/FYO0P26cmQ",DSC PESU,1151479175691132928,2019-07-17 13:10:03,"['dsc', 'google', 'cloud', 'gdg', 'googledevelopers', 'pesuniversity', 'india', 'bangalorepic']",dscpesu,1,1.0,0.0,Neutral
48,"#PESSAT is being conducted by @PESUniversity Bangalore for admissions into Engineering and other UG courses, 

To know more about the #PESSAT syllabus & previous year question papers

Links:
Youtube http://bit.ly/2LTobzA  
Website link:http://bit.ly/2XYhmTYo0 ",Youth4workPrep,1150985911984721920,2019-07-16 04:30:00,"['PESSAT', 'PESSAT']",Prep_Tests,1,0.0,0.0,Neutral
49,Be sure to come to PES University on the 20th! https://twitter.com/dscpesu/status/1151910678363381760 …,Varun Gupta,1151911316874907648,2019-07-18 17:47:14,[],varungupta3009,0,0.0,0.3802,Positive
50,Drop in to PES University on the 20th to meet Google employees and have a chat. @PESUniversity @dscpesu #dscpesu #google #googlecloudpic.twitter.com/v2GsjTYMak,DSC PESU,1151910678363381760,2019-07-18 17:44:41,"['dscpesu', 'google', 'googlecloudpic']",dscpesu,0,1.0,-0.2732,Negative
51,"MBA OPEN HOUSE on July 21 @ 9.30 am. You and your family are invited to spend A Day on the PES Campus for MBA Open House. You will have the opportunity to tour campus and speak with: Admissions and Faculty members, Directors and members of the programs. https://pes.edu/mba pic.twitter.com/1e07SSihQP",PES University,1151871096498487296,2019-07-18 15:07:24,[],PESUniversity,0,1.0,0.4215,Positive
52,"PES University is calling applications for their BBA LLB - 5 Years Integrated Law Program of session 2019-20.

To apply, click here: http://tinyurl.com/y4sdltfr pic.twitter.com/9oGEHq6ddc",Lawctopus,1151758385349402624,2019-07-18 07:39:32,[],Lawctopus,0,0.0,0.0,Neutral
53,"Inauguration of first semester diploma classes in PES Polytechnic college was an enriching experience for enthusiastic students and parents. The course information book of first year diploma was released by Sri Vinaya Kumar, Vice President, TKM. https://news.pes.edu/10202 pic.twitter.com/LWMazBVA88",PES University,1151501458052792320,2019-07-17 14:38:36,[],PESUniversity,0,1.0,0.4939,Positive
54,"Our first cloud fest at PES UNIVERSITY! Launching this Saturday! If you're in Bangalore, come be a part of it! 
Registration link : http://bit.ly/dscpesu-cloud-fest … …
#dsc #google #cloud #gdg #googledevelopers @googledevs @Google
#pesuniversity #india #bangalorepic.twitter.com/FYO0P26cmQ",DSC PESU,1151479175691132928,2019-07-17 13:10:03,"['dsc', 'google', 'cloud', 'gdg', 'googledevelopers', 'pesuniversity', 'india', 'bangalorepic']",dscpesu,1,1.0,0.0,Neutral
