,Tweet_text,date,username,retweets,uni_handle,compound,Sentiment
37,NIRF Rankings 2020 :@iitmadras tops in overall government rankings. Jnu continues 2nd position in Uni ranking @AmarUjalaNews @HRDMinistry @DrRPNishank @iitdelhi @iiscbangalore @iitroorkee @IITHyderabad @DirectorIITG @iitbombay @IITKanpur @iitkharagpur @jnutf19 @mamidala90,2020-06-12 09:55:29+00:00,09seemasharma,2,0.0,0.5106,Positive
38,So you expect a student who has taken a year drop after 12th and spent 1lakh rupees for JEE or NEET coaching to not appear in the exam because it is not mandatory?? Thats the most stupid advice i have ever heard,2020-06-12 09:40:55+00:00,Kartikey_4746,0,0.0,-0.7488,Negative
39,"CC :-@AIST_EN CC:- @iitdelhi He is the claim that ""ashwagandha and propolis"" can be a good therapeutic and preventing drug against covid-19 infection. ",2020-06-12 09:40:03+00:00,JavedKhanSiddiq,0,0.0,0.4215,Positive
40,District domestic product meeting with all concerned resource development departments of Tawang #VocalForLocal @PemaKhanduBJP @CSArunachal @gupta_iitdelhi @MyGovArunachal @ArunachalDIPR,2020-06-12 09:40:03+00:00,diprotawang,1,0.0,0.0,Neutral
41,"JEE Main or Advance exam are not Mandatory like Board exam. As the Number of Chances are Fixed, so one may opt himself or herself out from appearing the examination this time and appear next year . Hence those examination shouldn't be Cancelled",2020-06-12 09:37:32+00:00,BISHWAJITBANE10,0,0.0,0.1301,Positive
42,What is the logic giving so high ranking to the college having poor placement n low mid salary,2020-06-12 09:32:32+00:00,pradeepgsm,0,0.0,-0.4215,Negative
43,A big question on admission process of IITs ??? Why do some IITs don't allow a NON-CS http://B.Tech to take admission in CS masters' programme despite appearing for GATE through computer science while securing ranks within top 100? #IITDelhi @ramgopal_rao @narendramodi,2020-06-12 09:20:53+00:00,freak19924,4,0.0,0.5258,Positive
44,I already said that I live in India studying in IIT Delhi...... That's what you want to.....you don't want to use your brain and expect the same from others..... I know more about India than you trust me!,2020-06-12 09:19:15+00:00,min_Pi_by_2_ln2,0,0.0,0.5676,Positive
45,Happy to hear that Indian universities stood in top 1000.Those universities are nothing if students aren’t http://there.How could a student risk his/her life for an exam .We can achieve anything if we are alive and healthy. #postponejee #postponeneet #StudentsLivesMatter,2020-06-12 09:11:00+00:00,theyashwanthko1,2,0.0,0.8271,Positive
46,Top 10 IITs as per NIRF ranking 2020. Must watch video for JEE and GATE Aspirants. https://youtu.be/p4p8ovJ2Sq4 #NIRFRankings2020 #JEEMains @iitbombay @IITGuwahati @iitmadras @iitdelhi @IITKanpur @iitkharagpur @iitroorkee @IITIndore @IITHyderabad @DrRPNishank @HRDMinistry,2020-06-12 09:10:08+00:00,Harsh12Purohit,0,0.0,0.2023,Positive
47,Participated in AICTE ATAL FDP - hosted by IIT DELHI in the topic Artificial intelligence. Thanks @AICTE_INDIA for the opportunity. It was an Excellent 5 days. Learnt many new things. All sessions were Excellent. @adsahasrabudhe @rksoni_aicte @ms_aicte @drmppoonia,2020-06-12 09:03:36+00:00,arunecepit,0,0.0,0.9451,Positive
48,"Congratulations #Prof_N_B_Singh #VC_HBTU_Kanpur for getting, 1st time 166th rank under your esteemed guidance to #Team_HBTU under #Technical_Institutions Category @ecell_hbtuk @hbtualumni @HBTUTemple",2020-06-12 08:53:52+00:00,raj_knp,0,0.0,0.7783,Positive
