id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURjd3A2SWVnEAE,,2 months ago,2020-08-01 15:20:04.998332,5.0,Yashwant Kashyap,0,0,https://www.google.com/maps/contrib/112461522984223807651?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjd3Rhdl9BRRAB,,2 months ago,2020-08-01 15:20:04.999283,5.0,Prashanth M H,0,0,https://www.google.com/maps/contrib/110515284501243315210?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjZ3ZTa0d3EAE,,2 months ago,2020-08-01 15:20:05.000139,5.0,kp varun,2,0,https://www.google.com/maps/contrib/117052570367197091697?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjdkxLSjBRRRAB,,2 months ago,2020-08-01 15:20:05.001066,5.0,vivek nagur,0,0,https://www.google.com/maps/contrib/116486669485303061088?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjdk1qWVJBEAE,,2 months ago,2020-08-01 15:20:05.001933,5.0,siddharth devanga,0,0,https://www.google.com/maps/contrib/102215457291189267165?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjbkpiYnpnRRAB,,2 months ago,2020-08-01 15:20:05.002796,5.0,Harsha Hebbar,4,0,https://www.google.com/maps/contrib/114883239393244503185?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjN08tb0FREAE,,2 months ago,2020-08-01 15:20:05.003822,5.0,Mukesh Devadiga,0,0,https://www.google.com/maps/contrib/101371339835617526619?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjN0xXbVBnEAE,,2 months ago,2020-08-01 15:20:05.004751,5.0,Varun Shetty,0,0,https://www.google.com/maps/contrib/108224783307070226441?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjcktxeDB3RRAB,,2 months ago,2020-08-01 15:20:05.005600,5.0,Deekshith Amin,2,0,https://www.google.com/maps/contrib/109385282129543775643?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjck55c25BRRAB,,2 months ago,2020-08-01 15:20:05.006451,5.0,Anil Kumar Reddy,8,0,https://www.google.com/maps/contrib/110170629367036267166?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjekwtZERnEAE,Well organised campus,2 months ago,2020-08-01 15:20:11.528918,5.0,yashwanth hykon,1,0,https://www.google.com/maps/contrib/106393950616401795214?hl=en-IN
