id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUNzMThxUzJnRRAB,Worst academic environment. I was a faculty there in law school. It was the worst academic experience I ever got.,5 months ago,2020-08-01 14:33:39.020493,1.0,Nainy Singh,6,0,https://www.google.com/maps/contrib/107195237101618925336?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNzdTduS093EAE,,5 months ago,2020-08-01 14:33:39.021361,5.0,rakesh karegar,1,0,https://www.google.com/maps/contrib/101836245870996991026?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNzbzlPY1RBEAE,,5 months ago,2020-08-01 14:33:39.022230,5.0,Vijay Balaji,2,0,https://www.google.com/maps/contrib/103196406380079052756?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNzcGFTTi1RRRAB,,5 months ago,2020-08-01 14:33:39.023166,5.0,hemanth kumar,0,0,https://www.google.com/maps/contrib/109768076870678983201?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNRNjRqenFRRRAB,(Translated by Google) God clg  (Original) Gud clg,5 months ago,2020-08-01 14:33:39.024087,5.0,Kishore Reddy's Ssk,0,0,https://www.google.com/maps/contrib/111774716684705332066?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNzeXNXUU5nEAE,Course and Faculty is Good but Mess and Laundry is worst ! Totally waste of money . We can was 2 times (7kg maximum) in a month ! And Food is also waste of money ! If you join Hostel then you are bound to stay there for 1 year spending over 200000 !,6 months ago,2020-08-01 14:33:39.024965,3.0,Raja Meher,0,0,https://www.google.com/maps/contrib/116529674453048113614?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNzMHBHR2V3EAE,,6 months ago,2020-08-01 14:33:39.025838,3.0,Nivetha Kannan,0,0,https://www.google.com/maps/contrib/108713958224767662049?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNzbEotMHB3RRAB,,6 months ago,2020-08-01 14:33:39.026710,4.0,Divyanshu,0,0,https://www.google.com/maps/contrib/116345251652419642351?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURNcEtfZG93RRAB,,7 months ago,2020-08-01 14:33:39.027612,5.0,Shilpa Santosh,1,0,https://www.google.com/maps/contrib/105637258848288435665?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURNdU9yZXJ3RRAB,,7 months ago,2020-08-01 14:33:45.463351,5.0,tammana bahl,0,0,https://www.google.com/maps/contrib/102426706198688620309?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNNaTlDYTB3RRAB,,7 months ago,2020-08-01 14:33:45.464239,5.0,Jeshwanth Reddy,2,0,https://www.google.com/maps/contrib/106582975617214743463?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURNa1BuSzN3RRAB,This is the worst university to study at. They steal money from students and make you feel very helpless. I have had the worse experience of my life studying at this university and I regret every money spent for my education in this university.,7 months ago,2020-08-01 14:33:45.465112,1.0,Ria Garg,1,0,https://www.google.com/maps/contrib/113904185182119028533?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNNOFotWnFBRRAB,One of the best university in Bangalore,8 months ago,2020-08-01 14:33:45.465983,4.0,Abdul Mannan,2,0,https://www.google.com/maps/contrib/108485519691803331658?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNNdnY3djJ3RRAB,,8 months ago,2020-08-01 14:33:45.466886,5.0,keerthna shankar,0,0,https://www.google.com/maps/contrib/110416410775990818517?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUQwcGRtTHVBRRAB,One of the best colleges for MBA in South India Premier Education is provided here. Infrastructure is of International standards over here. There are various college festivals where you can participate and learn a lot. You can expect an all round development over here.,8 months ago,2020-08-01 14:33:45.467764,5.0,Kuldeep Khatar,3,0,https://www.google.com/maps/contrib/115257810155189315805?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUQweG9fMUV3EAE,,8 months ago,2020-08-01 14:33:45.468635,5.0,Ritika Bisht,1,0,https://www.google.com/maps/contrib/107744423935653520194?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUQweXNxN2VnEAE,,9 months ago,2020-08-01 14:33:45.469586,5.0,Babu Chetry,0,0,https://www.google.com/maps/contrib/115226687858761144590?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUQwbE42cGhBRRAB,Worst college for engineering.,9 months ago,2020-08-01 14:33:45.470464,1.0,Ranjan Singh,8,0,https://www.google.com/maps/contrib/115385198630727022981?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUQweVBTR05BEAE,Superb environment and good facilities and atmosphere feels like u r in a park,9 months ago,2020-08-01 14:33:45.471349,5.0,sandeep Raj,0,0,https://www.google.com/maps/contrib/102125870434111363722?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUQwaUphYXV3RRAB,,9 months ago,2020-08-01 14:33:52.037445,5.0,Ranjithkumar K S,0,0,https://www.google.com/maps/contrib/117071935630261039000?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUQwc09HRE1nEAE,"just google ""Dr. Ayyappa Dore Alliance University case"" you'll know the kind of people running the show.",9 months ago,2020-08-01 14:33:52.038337,1.0,rj 212,0,0,https://www.google.com/maps/contrib/112682147237377963608?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUMwcGVYSG13RRAB,"The most undisciplined university in Bangalore. Many affairs run between students in the campus,in class. And teachers don't even care about it. If you admit your child in alliance, there are 90% of chances that your child will get spoilt.  The university gives more importance and preference to hostel students than day scholars.",9 months ago,2020-08-01 14:33:52.039207,1.0,Amaan Shariff,5,0,https://www.google.com/maps/contrib/103077974103454645999?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUMwNG9iVjZnRRAB,,10 months ago,2020-08-01 14:33:52.040151,1.0,Rashmi Ranjan,0,0,https://www.google.com/maps/contrib/107623522368159611963?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUMwOEpMX01BEAE,,10 months ago,2020-08-01 14:33:52.041395,4.0,Nisha Deswal,0,0,https://www.google.com/maps/contrib/105542237333051966875?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURVODZMOVVREAE,Excellent experience,10 months ago,2020-08-01 14:33:52.042286,5.0,Md Mumtaz Alam,8,0,https://www.google.com/maps/contrib/107829287316894041557?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURVazhPaWhBRRAB,,10 months ago,2020-08-01 14:33:52.043239,1.0,Venu Chowdary,0,0,https://www.google.com/maps/contrib/116942435252859288268?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURVNVppOEhnEAE,,11 months ago,2020-08-01 14:33:52.044329,5.0,Mohan Alliance,0,0,https://www.google.com/maps/contrib/105944510351929927423?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURVanFLWDRnRRAB,"When It comes name of MBA 101% I will remember forever that s Alliance University. I am going to prov it now,  simply I am not saying ... 1) The Education is an investment and this is the best place to invest your  precious money  which you have to get it back and should give it back to your parents once you get it into the job and the choice of Alliance University MBA is going to fetch your real success....  2) The Skill is one of the best weapon which is going to play major role in your successful life that s one and only Alliance university  skill......  3) The Thought is more important than anything in this world in your successful life the thought  was born in you , teach you ,  train you , correct you, inspire you, then will leave you to the successful destiny.. (  Alliance thought )   4)  The confidence  which you are going to get not only for 2 years its for next successful 40 years .....  5) The Maturity .. I can not listen to the people who failed to succeed I know What I have done it  till now,   also I know what I have to do in future ... So MBA means my first choice is Alliance University Thank you so much Alliance University ...    In your successful life 3 people will help you .... a) Parents  b) You   c) Alliance University  This is I am experienced while I was studying even today and forever .. If I had not learned I could not explain like this trust me ...Alliance is one of the best choice of  your education ... go for it.......do not wait for anything ........",11 months ago,2020-08-01 14:33:52.045226,5.0,Gopal Krishna,3,0,https://www.google.com/maps/contrib/116723699104314559227?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURVanZDNDdRRRAB,Best place to Study,11 months ago,2020-08-01 14:33:52.046106,5.0,Rohith C,3,0,https://www.google.com/maps/contrib/104282823466591572810?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURVM1B1MnF3RRAB,,11 months ago,2020-08-01 14:33:58.595996,5.0,Gokhul Salgun,9,0,https://www.google.com/maps/contrib/101095402993479711630?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNVb19Yc21RRRAB,,11 months ago,2020-08-01 14:33:58.596958,1.0,Akhil Reddy,0,0,https://www.google.com/maps/contrib/110050311465523346041?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNVbzdMVEtnEAE,,11 months ago,2020-08-01 14:33:58.597840,5.0,sai teja,0,0,https://www.google.com/maps/contrib/100903111607951489180?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNVZzZDVV9nRRAB,,11 months ago,2020-08-01 14:33:58.598792,3.0,Hari Tharun Kotla,0,0,https://www.google.com/maps/contrib/116128287296681662902?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNVX3N2bjNBRRAB,,a year ago,2020-08-01 14:33:58.599787,5.0,Thodupunoori Vyshnavi,0,0,https://www.google.com/maps/contrib/102940899503448199187?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNVM0wtZjBRRRAB,,a year ago,2020-08-01 14:33:58.600741,5.0,ROHAN RAJ,1,0,https://www.google.com/maps/contrib/117308411758242907207?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNVdEptOWNnEAE,,a year ago,2020-08-01 14:33:58.601683,1.0,Paras Thukral,0,0,https://www.google.com/maps/contrib/115801802358991143103?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURrNy1tdVFREAE,,a year ago,2020-08-01 14:33:58.602635,5.0,Sangeeta Singh,0,0,https://www.google.com/maps/contrib/110726497583845870294?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURrNi1PaTN3RRAB,,a year ago,2020-08-01 14:33:58.603553,5.0,Manav Mahmia,5,0,https://www.google.com/maps/contrib/110015714610872912523?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURrNlpDeXpnRRAB,,a year ago,2020-08-01 14:33:58.604448,3.0,A.V. Yashwanth,0,0,https://www.google.com/maps/contrib/109996203958253623991?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNFOTdYWjVnRRAB,Very good quality faculty. It's known Placements and study abroad.,a year ago,2020-08-01 14:34:05.479705,5.0,abhay chebbi,2,0,https://www.google.com/maps/contrib/117215542984512605404?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUQ0cHYtRGdBRRAB,Very nice university,a year ago,2020-08-01 14:34:05.480585,5.0,Skhan Khan,1,0,https://www.google.com/maps/contrib/103432523553172481694?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUM0bWRUREFnEAE,"Only college where you don't get graduation day, the review you are reading here is past review, once it is good college but not any more. They will do all the drama to get you in college and then boom.. They don't even care about anyone. So make sure you ask students before you join.. Don't ask local people and stuff member.forget about college case....",a year ago,2020-08-01 14:34:05.481454,1.0,tenzin gurmey,1,0,https://www.google.com/maps/contrib/108920834938682536721?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURZci1Edmp3RRAB,"Great infrastructure but due to lots of internal issue between the  management  ,many  students studying in Alliance have been affected.",a year ago,2020-08-01 14:34:05.482321,3.0,Vivekanand Krishnan,6,0,https://www.google.com/maps/contrib/102988804655134988321?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURZOTVfMTdBRRAB,,a year ago,2020-08-01 14:34:05.483200,1.0,deepansh kaushik,4,0,https://www.google.com/maps/contrib/103359152622452240969?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURZOTltR3NRRRAB,,a year ago,2020-08-01 14:34:05.484064,5.0,sai anand,1,0,https://www.google.com/maps/contrib/107900267015096191953?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNZbEtUNWl3RRAB,,a year ago,2020-08-01 14:34:05.484955,1.0,Jayeta Dutta,0,0,https://www.google.com/maps/contrib/111915679588352831661?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURZdThmN0ZnEAE,,a year ago,2020-08-01 14:34:05.485911,5.0,malla k,0,0,https://www.google.com/maps/contrib/109794324219624880064?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNZX0pHbmV3EAE,,a year ago,2020-08-01 14:34:05.486856,5.0,javahar reddy,0,0,https://www.google.com/maps/contrib/102209970232954662162?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURZN2ZMa2JBEAE,"Alliance University (AU), Bangalore is a private university, located in Bangalore. The university was an extension of  Alliance Business School offering MBA and Executive MBA  programs.  Alliance University Best Private University 2017 (awarded at India Education Awards).  The university offers undergraduate, post graduate, Doctoral and professional certificate courses in mainly four streams Engineering, Management, Commerce & Law.",a year ago,2020-08-01 14:34:05.487738,4.0,Vinay Jayaram,0,0,https://www.google.com/maps/contrib/106153472095333551993?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURZN1pHYTJRRRAB,,a year ago,2020-08-01 14:34:12.099848,5.0,soumya bhattacharjee,1,0,https://www.google.com/maps/contrib/112462865905660520887?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURZOWVPV0RnEAE,,a year ago,2020-08-01 14:34:12.100725,4.0,mahesh babu,2,0,https://www.google.com/maps/contrib/101670596596658142449?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURZbnRuSE9BEAE,Super 👍👍,a year ago,2020-08-01 14:34:12.101595,5.0,akash patil,1,0,https://www.google.com/maps/contrib/109520602057010108544?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURZam9EWWZBEAE,,a year ago,2020-08-01 14:34:12.102458,5.0,Yugandhar Ardekar,6,0,https://www.google.com/maps/contrib/117432176243857353644?hl=en-IN
